"","Borough","XCoord","YCoord"
"661","BK",985866,191083
"662","BK",1008748,164729
"663","BK",1008675,172178
"664","BK",983274,169587
"665","BK",994973,149920
"666","BK",1001902,162793
"667","BK",999195,163748
"668","BK",998528,179382
"669","BK",1006037,195810
"670","BK",1018357,187959
"671","BK",998432,157998
"672","BK",1001516,186740
"673","BK",1004307,195230
"674","BK",1001222,166510
"675","BK",1004578,169971
"676","BK",1008928,184318
"677","BK",993682,198450
"678","BK",991227,169036
"679","BK",1004051,180096
"680","BK",1013285,170490
"681","BK",999073,175040
"682","BK",985552,189310
"683","BK",994409,184901
"684","BK",974950,171815
"685","BK",997485,162720
"686","BK",1001622,167120
"687","BK",1012665,174230
"688","BK",1004029,156059
"689","BK",1014197,186219
"690","BK",1002580,177759
"691","BK",999394,159860
"692","BK",999756,161018
"693","BK",988184,149936
"694","BK",1000381,201197
"695","BK",1003739,190628
"696","BK",997800,148685
"697","BK",996997,207601
"698","BK",1008384,161503
"699","BK",988991,153791
"700","BK",1005925,180891
"701","BK",1008780,165957
"702","BK",1012860,180965
"703","BK",1000556,185616
"704","BK",998550,192036
"705","BK",1013106,186722
"706","BK",998353,154161
"707","BK",990384,190123
"708","BK",1011366,162915
"709","BK",995140,158764
"710","BK",1004752,155503
"711","BK",1002022,192993
"712","BK",997613,173143
"713","BK",982913,170237
"714","BK",989668,168635
"715","BK",1006836,189184
"716","BK",1001651,162442
"717","BK",980743,160648
"718","BK",993484,155574
"719","BK",990335,163099
"720","BK",999623,166541
"721","BK",1002032,183925
"722","BK",974083,168154
"723","BK",992375,154874
"724","BK",985687,167450
"725","BK",1002682,176768
"726","BK",992554,164444
"727","BK",1008858,188711
"728","BK",974497,167853
"729","BK",993371,153423
"730","BK",1010862,170178
"731","BK",973880,166591
"732","BK",1014725,183725
"733","BK",985496,172505
"734","BK",1019673,189445
"735","BK",989670,187843
"736","BK",995769,198241
"737","BK",1004712,188859
"738","BK",1003757,190630
"739","BK",1000048,158982
"740","BK",994378,157518
"741","BK",980209,174674
"742","BK",992968,155515
"743","BK",994158,156928
"744","BK",989747,161089
"745","BK",1008301,189271
"746","BK",1002207,161633
"747","BK",993969,187254
"748","BK",999959,202508
"749","BK",985289,174350
"750","BK",982702,176816
"751","BK",982727,176335
"752","BK",995276,185750
"753","BK",1001218,160081
"754","BK",976729,169657
"755","BK",1018229,186618
"756","BK",979195,168564
"757","BK",988212,169661
"758","BK",980256,173772
"759","BK",1003384,180167
"760","BK",985341,170072
"761","BK",1007822,166641
"762","BK",1012926,180097
"763","BK",974969,166471
"764","BK",995016,159753
"765","BK",1002951,172013
"766","BK",1013806,184448
"767","BK",1012441,178711
"768","BK",1008069,184971
"769","BK",991948,186896
"770","BK",1001303,194246
"771","BK",1010072,173021
"772","BK",986519,158390
"773","BK",995883,171968
"774","BK",1003320,162114
"775","BK",998928,175535
"776","BK",999976,186224
"777","BK",1016865,184222
"778","BK",1002145,152737
"779","BK",995243,196298
"780","BK",991200,185755
"781","BK",1011330,180650
"782","BK",1009579,188413
"783","BK",1006900,167680
"784","BK",987322,155092
"785","BK",1000851,176100
"786","BK",1012605,183094
"787","BK",1007290,191663
"788","BK",984564,180523
"789","BK",1003890,173998
"790","BK",999101,161874
"791","BK",998217,158770
"792","BK",1010152,191146
"793","BK",1003026,164377
"794","BK",989506,181932
"795","BK",982430,167267
"796","BK",1003356,185318
"797","BK",1006021,167589
"798","BK",997663,180198
"799","BK",997805,202684
"800","BK",1003829,163126
"801","BK",1013741,174761
"802","BK",983029,162355
"803","BK",1002926,190502
"804","BK",994928,154971
"805","BK",983500,178093
"806","BK",992498,153728
"807","BK",1008478,193490
"808","BK",1005945,178413
"809","BK",990748,156264
"810","BK",992537,189901
"811","BK",978608,168670
"812","BK",1000922,158658
"813","BK",983621,149063
"814","BK",1002008,173722
"815","BK",1012807,185376
"816","BK",993014,186029
"817","BK",1013476,181827
"818","BK",1001574,180154
"819","BK",980799,166626
"820","BK",987668,188866
"821","BK",1015263,174170
"822","BK",1008888,192235
"823","BK",1001438,168937
"824","BK",990003,158609
"825","BK",981146,173068
"826","BK",1001086,158313
"827","BK",1001685,195931
"828","BK",1008796,164270
"829","BK",995206,187582
"830","BK",995902,152617
"831","BK",989708,149933
"832","BK",986186,180698
"833","BK",995327,162196
"834","BK",996950,174799
"835","BK",997367,180749
"836","BK",1002368,163236
"837","BK",997148,172435
"838","BK",999605,167629
"839","BK",974201,166489
"840","BK",997148,189353
"841","BK",988615,149467
"842","BK",984846,162217
"843","BK",1003470,176837
"844","BK",1004668,192625
"845","BK",990774,157197
"846","BK",990062,181091
"847","BK",998709,199117
"848","BK",997515,166141
"849","BK",998623,162263
"850","BK",987069,149341
"851","BK",977467,166744
"852","BK",995856,167743
"853","BK",999997,194935
"854","BK",999938,167263
"855","BK",981035,167441
"856","BK",999701,154105
"857","BK",1004051,176473
"858","BK",998178,178175
"859","BK",1005041,166356
"860","BK",1004646,174590
"861","BK",989202,186345
"862","BK",993964,163435
"863","BK",1009122,165804
"864","BK",1010998,160863
"865","BK",997755,171432
"866","BK",1003039,189010
"867","BK",1001809,150701
"868","BK",1001355,178221
"869","BK",1006705,194360
"870","BK",1010127,172091
"871","BK",1000871,181718
"872","BK",1004756,166668
"873","BK",1004662,164885
"874","BK",1004931,186288
"875","BK",994975,150920
"876","BK",984514,178377
"877","BK",987270,183171
"878","BK",997974,197643
"879","BK",1004107,188121
"880","BK",989507,180706
"881","BK",1005262,154498
"882","BK",1004119,189046
"883","BK",990403,158642
"884","BK",998236,170187
"885","BK",1000695,185661
"886","BK",997371,156439
"887","BK",995894,183799
"888","BK",1008610,187415
"889","BK",1004436,194534
"890","BK",992118,165010
"891","BK",996606,164537
"892","BK",1009960,173306
"893","BK",997425,203556
"894","BK",975456,165265
"895","BK",975375,162332
"896","BK",994337,188823
"897","BK",1020065,185682
"898","BK",981658,166613
"899","BK",991334,158506
"900","BK",1008242,171808
"901","BK",1001760,165622
"902","BK",997378,196597
"903","BK",999526,153110
"904","BK",1011504,172940
"905","BK",1014254,172517
"906","BK",1003610,194995
"907","BK",999793,176031
"908","BK",981351,149128
"909","BK",1009934,185246
"910","BK",993664,149965
"911","BK",987075,189604
"912","BK",1008362,166905
"913","BK",999106,183676
"914","BK",1004240,196413
"915","BK",1005047,169700
"916","BK",1002735,165605
"917","BK",998698,185763
"918","BK",980605,172191
"919","BK",1003781,160341
"920","BK",1001900,188332
"921","BK",984486,188933
"922","BK",998038,191571
"923","BK",1009335,189178
"924","BK",1005676,165209
"925","BK",1010502,171804
"926","BK",989778,166425
"927","BK",1000984,197722
"928","BK",989274,188908
"929","BK",994302,162846
"930","BK",982915,185625
"931","BK",975205,164386
"932","BK",1004377,193701
"933","BK",1003542,160867
"934","BK",1000577,183676
"935","BK",978155,167548
"936","BK",1006448,166828
"937","BK",997780,179320
"938","BK",978526,173350
"939","BK",994278,185894
"940","BK",998587,169750
"941","BK",999754,184393
"942","BK",990531,182473
"943","BK",1009017,166894
"944","BK",986555,167448
"945","BK",999674,167986
"946","BK",1002489,191519
"947","BK",1000469,188389
"948","BK",997739,158559
